date,product,category,region,quantity,unit_price,revenue
2025-10-19 22:51:23.634527,Widget C,Electronics,South,360,1884.803943039952,298231.15914527175
2025-10-20 22:51:23.634527,Widget A,Electronics,North,101,952.7159237248633,1065166.4618935655
2025-10-21 22:51:23.634527,Widget A,Accessories,East,441,4107.422447528024,2293383.8887818335
2025-10-22 22:51:23.634527,Widget B,Electronics,West,203,860.3985061775803,1082705.9145007757
2025-10-23 22:51:23.634527,Widget B,Electronics,Central,418,2639.229417194496,1643071.4963921793
2025-10-24 22:51:23.634527,Widget B,Accessories,East,168,1122.116247764701,2264957.854249356
2025-10-25 22:51:23.634527,Gadget X,Hardware,East,388,1110.1884892166165,358219.3163782396
2025-10-26 22:51:23.634527,Widget C,Electronics,West,412,3102.572798655389,1875774.5526807453
2025-10-27 22:51:23.634527,Widget C,Hardware,North,175,4653.899673820248,1182708.6550913013
2025-10-28 22:51:23.634527,Gadget Y,Electronics,North,132,250.30624569474153,56320.04475529148
2025-10-29 22:51:23.634527,Gadget X,Electronics,South,423,207.0615221262114,978310.5003309791
2025-10-30 22:51:23.634527,Widget B,Electronics,South,113,3847.1922482510513,208531.4355197081
2025-10-31 22:51:23.634527,Widget B,Accessories,East,363,2594.350981471126,1331513.1628378525
2025-11-01 22:51:23.634527,Gadget Y,Hardware,East,192,2030.2509521957747,2331139.167201552
2025-11-02 22:51:23.634527,Gadget Y,Electronics,West,382,856.4566483288789,1505201.3656579703
2025-11-03 22:51:23.634527,Gadget X,Electronics,Central,171,643.1366908467126,1434605.3024806431
2025-11-04 22:51:23.634527,Widget B,Electronics,North,217,2759.0848330000185,716422.4846021015
2025-11-05 22:51:23.634527,Widget A,Electronics,Central,129,3694.887567063022,916962.762969208
2025-11-06 22:51:23.634527,Widget A,Electronics,Central,207,2322.654990722336,564927.315335714
2025-11-07 22:51:23.634527,Widget A,Electronics,West,477,3908.751958675921,1619900.3789603284
2025-11-08 22:51:23.634527,Gadget Y,Accessories,Central,216,4976.208578211126,2082702.707817718
2025-11-09 22:51:23.634527,Gadget X,Accessories,South,167,1012.7638016148596,1158684.2349096735
2025-11-10 22:51:23.634527,Gadget Y,Electronics,Central,62,1801.4663339294418,1771946.2814385227
2025-11-11 22:51:23.634527,Widget C,Accessories,West,259,1705.262209459696,2279171.3193134726
2025-11-12 22:51:23.634527,Widget B,Electronics,West,113,2861.3514036460106,1898844.9996720527
2025-11-13 22:51:23.634527,Widget B,Hardware,South,171,850.267185956336,2438259.693408626
2025-11-14 22:51:23.634527,Widget B,Electronics,East,369,1192.258916674816,2037937.2229326032
2025-11-15 22:51:23.634527,Widget A,Hardware,South,461,776.9725296219839,1857500.8478348877
2025-11-16 22:51:23.634527,Gadget X,Hardware,South,261,2903.6885306026,290691.8422591239
2025-11-17 22:51:23.634527,Gadget Y,Hardware,East,71,2227.8838514306613,1567815.808764573
2025-11-18 22:51:23.634527,Gadget X,Accessories,West,489,3270.8710421722258,1256330.7464655517
2025-11-19 22:51:23.634527,Gadget X,Hardware,East,322,2308.864447496498,2157177.1248185197
2025-11-20 22:51:23.634527,Gadget X,Hardware,South,93,1153.975447330973,1901150.43712302
2025-11-21 22:51:23.634527,Widget C,Electronics,West,211,1870.8683842489506,1586509.2526918713
2025-11-22 22:51:23.634527,Widget C,Hardware,North,65,769.9156659709142,2407123.8793377792
2025-11-23 22:51:23.634527,Widget B,Hardware,West,343,3231.4770093183447,1908944.9088608776
2025-11-24 22:51:23.634527,Gadget X,Electronics,North,352,1053.6474562569033,2052477.0219396711
2025-11-25 22:51:23.634527,Widget B,Accessories,East,271,1713.0592720751722,2024372.494549958
2025-11-26 22:51:23.634527,Widget B,Hardware,East,190,463.13718122118814,1295649.1670300073
2025-11-27 22:51:23.634527,Widget B,Hardware,East,155,2082.1523125004596,1451450.0267700697
2025-11-28 22:51:23.634527,Gadget X,Accessories,Central,84,703.1034900165141,1756034.1119706987
2025-11-29 22:51:23.634527,Widget B,Electronics,North,306,3239.6479925511344,2131985.721921268
2025-11-30 22:51:23.634527,Widget A,Hardware,South,250,3047.112630312307,508920.7614645806
2025-12-01 22:51:23.634527,Gadget X,Accessories,Central,300,1310.7055202643196,220893.13585149936
2025-12-02 22:51:23.634527,Widget B,Hardware,East,311,4116.97980770633,150161.62264354137
2025-12-03 22:51:23.634527,Widget A,Accessories,North,374,4242.340984138973,1035437.414852714
2025-12-04 22:51:23.634527,Gadget Y,Accessories,East,171,984.9804007780559,819278.7051624631
2025-12-05 22:51:23.634527,Widget C,Hardware,North,296,3824.1932164144687,1080036.403024571
2025-12-06 22:51:23.634527,Widget C,Electronics,North,497,4490.232745402146,2141545.291765867
2025-12-07 22:51:23.634527,Widget A,Hardware,East,375,320.6810394200179,435093.4177163687
2025-12-08 22:51:23.634527,Widget C,Electronics,North,485,3775.1910685134194,2438446.728064153
2025-12-09 22:51:23.634527,Widget A,Accessories,North,393,593.3523798721039,262423.8581232859
2025-12-10 22:51:23.634527,Gadget X,Electronics,North,469,3137.3693025294438,901671.4425080363
2025-12-11 22:51:23.634527,Gadget Y,Hardware,Central,440,2537.082100387044,1431622.88149077
2025-12-12 22:51:23.634527,Widget A,Accessories,Central,131,2380.2495826574846,550373.9485307266
2025-12-13 22:51:23.634527,Gadget Y,Electronics,South,124,1233.0592538581088,1394204.221998956
2025-12-14 22:51:23.634527,Widget A,Hardware,South,326,3636.460039028478,1845255.2070995606
2025-12-15 22:51:23.634527,Widget A,Electronics,Central,419,3545.2019228375693,1359510.0263803885
2025-12-16 22:51:23.634527,Widget C,Electronics,West,398,3308.0339376051184,120261.79706424533
2025-12-17 22:51:23.634527,Gadget Y,Accessories,Central,311,789.667286163095,1333031.0671390502
2025-12-18 22:51:23.634527,Gadget Y,Accessories,West,259,2210.026250966282,2404913.94572792
2025-12-19 22:51:23.634527,Gadget X,Accessories,West,139,4872.618627438678,1046572.1756514993
2025-12-20 22:51:23.634527,Widget B,Accessories,North,496,1892.2969564051887,627430.7014586163
2025-12-21 22:51:23.634527,Gadget X,Hardware,West,393,1438.408263443496,498422.8813884963
2025-12-22 22:51:23.634527,Widget B,Accessories,South,207,1321.0717340032718,1946734.968397958
2025-12-23 22:51:23.634527,Gadget Y,Hardware,South,107,2553.638722954278,641497.9182954729
2025-12-24 22:51:23.634527,Widget B,Accessories,North,362,3457.5266021574666,2144715.42007591
2025-12-25 22:51:23.634527,Gadget X,Hardware,South,276,2925.1764602125277,1966726.6176894177
2025-12-26 22:51:23.634527,Gadget X,Accessories,Central,65,4348.295549749368,1371185.1604937632
2025-12-27 22:51:23.634527,Widget C,Accessories,West,101,1732.9424555214935,361902.7960628444
2025-12-28 22:51:23.634527,Gadget Y,Accessories,South,104,1921.0084517307218,2352912.4155180454
2025-12-29 22:51:23.634527,Gadget X,Hardware,South,354,1461.6835817923516,494638.0068173192
2025-12-30 22:51:23.634527,Gadget Y,Accessories,East,133,1310.814283702755,1974140.0153726442
2025-12-31 22:51:23.634527,Gadget Y,Electronics,South,330,3504.566374469838,901965.8951180286
2026-01-01 22:51:23.634527,Gadget X,Hardware,East,479,4944.039523199655,302863.3204254082
2026-01-02 22:51:23.634527,Gadget X,Accessories,South,451,877.0995574909249,676341.9733571087
2026-01-03 22:51:23.634527,Widget B,Electronics,North,389,3185.4349771909865,835940.4701034253
2026-01-04 22:51:23.634527,Widget A,Hardware,Central,229,2095.745349798206,2478259.233600677
2026-01-05 22:51:23.634527,Gadget Y,Accessories,Central,192,3291.801350589197,1372350.2564369768
2026-01-06 22:51:23.634527,Gadget X,Accessories,West,190,812.500320701792,1081914.007283366
2026-01-07 22:51:23.634527,Widget C,Hardware,West,461,2501.866228812674,515473.3667701861
2026-01-08 22:51:23.634527,Gadget Y,Electronics,West,209,2192.4220574946935,202884.27951940594
2026-01-09 22:51:23.634527,Widget B,Accessories,East,166,1698.6625843870825,1490081.4067691006
2026-01-10 22:51:23.634527,Widget C,Electronics,East,350,1148.1510699337427,2373137.316808956
2026-01-11 22:51:23.634527,Widget C,Electronics,North,131,389.3144191404309,275929.33697006945
2026-01-12 22:51:23.634527,Widget A,Accessories,West,162,4621.6975044357505,2103981.5561252227
2026-01-13 22:51:23.634527,Widget A,Electronics,Central,147,1792.0994437505587,2129667.8905203044
2026-01-14 22:51:23.634527,Widget B,Accessories,North,281,1282.8444434954436,745374.6937646078
