date,department,expense,profit,revenue
2025-09-25 22:51:23.693186,Operations,404177.29031818436,458813.36555944226,1841848.9689996035
2025-09-26 22:51:23.693186,Operations,144220.10752951592,173672.99327851206,1469711.3238203763
2025-09-27 22:51:23.693186,Administration,75949.50787940287,234735.96596243783,1566148.757279169
2025-09-28 22:51:23.693186,Logistics,366381.74165111483,740400.7343186012,458188.3426377178
2025-09-29 22:51:23.693186,R&D,247615.9416234541,221064.3915001016,394575.3976157041
2025-09-30 22:51:23.693186,Sales,363870.54620121565,546024.9574348228,658881.9719510835
2025-10-01 22:51:23.693186,R&D,396570.9064818849,590236.2595078142,1837618.6210253702
2025-10-02 22:51:23.693186,R&D,381808.4802068617,762931.9413542544,1047813.8657702133
2025-10-03 22:51:23.693186,Sales,255338.36411112963,740193.8353560998,763729.3105497226
2025-10-04 22:51:23.693186,Administration,245892.7833072937,770332.4186152492,512034.5292695646
2025-10-05 22:51:23.693186,Sales,295915.66879976675,951758.0165594105,1038113.4295386719
2025-10-06 22:51:23.693186,Administration,344191.60315272346,699959.5097098404,200728.1022586557
2025-10-07 22:51:23.693186,R&D,269902.07358770596,666240.5974885868,1070256.4396856125
2025-10-08 22:51:23.693186,Sales,97957.89028474955,120322.06524372996,546894.4264425598
2025-10-09 22:51:23.693186,R&D,244576.54134834593,644798.6755091948,557918.3040526398
2025-10-10 22:51:23.693186,Administration,330082.94936537143,821543.0871818819,274364.2589918723
2025-10-11 22:51:23.693186,Administration,296506.79810187675,707625.5668426865,781322.9044544679
2025-10-12 22:51:23.693186,Operations,443202.48667425173,761972.326075958,1972506.589690464
2025-10-13 22:51:23.693186,R&D,199904.3152579129,459698.4860806204,1895431.2971007794
2025-10-14 22:51:23.693186,Administration,423971.4697748711,672188.2976751146,1691613.5230271402
2025-10-15 22:51:23.693186,Administration,395906.36918698973,795571.2357050905,1816189.0472854855
2025-10-16 22:51:23.693186,R&D,470654.32292785146,105404.11072991657,1852355.2983915168
2025-10-17 22:51:23.693186,Sales,413629.65660455386,250796.12915913557,1819800.279564009
2025-10-18 22:51:23.693186,Logistics,486769.7999989507,494345.32825896563,367186.2571968112
2025-10-19 22:51:23.693186,Operations,382969.15174343635,818278.2078636427,872442.811455117
2025-10-20 22:51:23.693186,R&D,117986.29694577916,381974.82141776907,925120.6124012361
2025-10-21 22:51:23.693186,Administration,112397.69309485555,942953.4546127014,1582221.7412642373
2025-10-22 22:51:23.693186,Administration,390636.74323254457,102981.90178671855,925965.5895540763
2025-10-23 22:51:23.693186,Administration,262271.0648480349,791407.6998757648,781485.293046409
2025-10-24 22:51:23.693186,Administration,195172.3068019436,135404.53795085868,1862640.591933458
2025-10-25 22:51:23.693186,Sales,265973.4895835023,622525.598926282,1992566.476373162
2025-10-26 22:51:23.693186,Administration,116277.6644214525,373537.0031368688,1256594.3498884586
2025-10-27 22:51:23.693186,Operations,241884.03836938486,323218.2349006728,1616506.754546503
2025-10-28 22:51:23.693186,R&D,457104.1151520067,743860.3508211635,1079008.7029968482
2025-10-29 22:51:23.693186,R&D,190478.83705801415,942480.7969850968,662687.0082233504
2025-10-30 22:51:23.693186,Sales,379051.4276146079,609297.4433521286,1915097.4195567677
2025-10-31 22:51:23.693186,Operations,428021.2345414669,389514.4561705362,1792335.6034996514
2025-11-01 22:51:23.693186,R&D,252600.36033996,475685.9544251284,773251.9225846784
2025-11-02 22:51:23.693186,Logistics,307542.8763255597,242105.25884272796,1210912.190518528
2025-11-03 22:51:23.693186,Administration,220063.43379196175,533724.9142896668,260746.1153336571
2025-11-04 22:51:23.693186,Administration,249695.26114591543,996558.7929147796,1016807.3381281075
2025-11-05 22:51:23.693186,Operations,252161.2145775333,365795.1878189227,775191.1923954932
2025-11-06 22:51:23.693186,Logistics,394936.09699707624,195954.02049737552,476217.40459147614
2025-11-07 22:51:23.693186,Logistics,417712.15828133107,663546.7745129423,958519.9184897469
2025-11-08 22:51:23.693186,Sales,460075.87571454025,103357.98401526827,1311788.922372478
2025-11-09 22:51:23.693186,Operations,120014.48718130578,585963.896342061,1910535.9743634346
2025-11-10 22:51:23.693186,Operations,182812.97434367376,898682.2147880506,229732.4655710966
2025-11-11 22:51:23.693186,Sales,323083.96233625384,476128.37518112204,744251.846334884
2025-11-12 22:51:23.693186,Operations,252898.8881907195,694281.5142071695,1366910.291722458
2025-11-13 22:51:23.693186,Logistics,459334.1403905085,548027.2848968199,1784756.688907042
2025-11-14 22:51:23.693186,Operations,152905.22322249608,206987.5539409227,266706.41628020944
2025-11-15 22:51:23.693186,Operations,397845.4646704734,382549.28908581263,567773.8912513618
2025-11-16 22:51:23.693186,Administration,303890.7194308188,150412.48420463092,388242.0063705784
2025-11-17 22:51:23.693186,Sales,401313.62542582804,377293.7506640334,1604208.6880025235
2025-11-18 22:51:23.693186,R&D,355685.0932692977,757409.2117964592,821870.8439094452
2025-11-19 22:51:23.693186,Sales,360888.15407171525,640012.5400056889,1135365.9043393491
2025-11-20 22:51:23.693186,Operations,307793.47335763334,353335.68440882827,701729.7236527735
2025-11-21 22:51:23.693186,Operations,405109.31641014543,959851.9473875077,768495.2263618276
2025-11-22 22:51:23.693186,Administration,292004.89295835677,728092.0062575402,596063.1173877879
2025-11-23 22:51:23.693186,Administration,149891.96588034098,842224.4938194726,981211.9002159352
2025-11-24 22:51:23.693186,Operations,169915.1592674898,535507.7530661644,678168.110222765
2025-11-25 22:51:23.693186,Logistics,319317.6201602924,699534.6289291484,1511719.5434237057
2025-11-26 22:51:23.693186,Administration,278735.64691951795,551359.2440182719,1871246.5735212355
2025-11-27 22:51:23.693186,Sales,314495.721801563,654847.1325675617,839957.2523398271
2025-11-28 22:51:23.693186,Logistics,394272.4223253905,446495.3236471051,1906149.8879483081
2025-11-29 22:51:23.693186,R&D,440524.77862660977,677809.9217007715,563356.679868049
2025-11-30 22:51:23.693186,Administration,317132.7665101347,459126.07663645677,999623.1144196944
2025-12-01 22:51:23.693186,R&D,370913.6518481512,925756.0241559412,1022141.2272310595
2025-12-02 22:51:23.693186,Administration,444947.5247006626,778793.0531892648,1254795.8482458321
2025-12-03 22:51:23.693186,Operations,333412.6807905435,252522.7014195797,1369774.4094838803
2025-12-04 22:51:23.693186,Sales,434328.3212915666,189267.4765339259,347742.02709690854
2025-12-05 22:51:23.693186,Administration,235003.4025793155,316401.79211315745,907777.1267279696
2025-12-06 22:51:23.693186,R&D,267038.1446679138,847525.2829210428,850110.6624812887
2025-12-07 22:51:23.693186,Operations,342027.93435124634,758602.8142384819,1004201.6678712484
2025-12-08 22:51:23.693186,Sales,386070.56149073516,631349.9497871628,1052912.0255747105
2025-12-09 22:51:23.693186,Operations,216104.8620991717,138888.85315166798,334446.16433033766
2025-12-10 22:51:23.693186,Sales,272604.1215823374,402481.26470107486,1582626.7195499125
2025-12-11 22:51:23.693186,Operations,442488.34130324813,968618.8801818689,1451650.159401614
2025-12-12 22:51:23.693186,Administration,91732.0797556551,268153.373483842,1087220.3483869042
2025-12-13 22:51:23.693186,Sales,449896.16079208505,933056.7715841092,1866628.663137792
2025-12-14 22:51:23.693186,R&D,65114.48969109781,763992.5399661388,1608408.3448197546
2025-12-15 22:51:23.693186,Operations,131585.43812316365,237137.25364308097,861135.6836230388
2025-12-16 22:51:23.693186,R&D,275941.3854994383,489371.07006952795,1045298.0803931393
2025-12-17 22:51:23.693186,Logistics,448840.1796987652,407667.1844194734,1502109.8878631152
2025-12-18 22:51:23.693186,R&D,241618.99333474968,670747.0307922896,722337.9832113216
2025-12-19 22:51:23.693186,Administration,272695.18274242675,417692.61543619644,893275.7964256792
2025-12-20 22:51:23.693186,Operations,375874.2834893265,953906.6326891864,1858501.0387467865
2025-12-21 22:51:23.693186,Administration,206687.0519958265,115737.39482092693,1469730.5292280484
2025-12-22 22:51:23.693186,Logistics,441818.5212578348,608854.8824953098,1010889.8960389644
2025-12-23 22:51:23.693186,R&D,321559.5450906124,927899.0400353245,1952104.5559718332
2025-12-24 22:51:23.693186,Administration,227175.22583046812,938629.7187952299,1481735.9782036238
2025-12-25 22:51:23.693186,Administration,368593.2908745937,928071.8777077483,972856.6094680323
2025-12-26 22:51:23.693186,Administration,305885.8012190368,538784.0052253893,399059.03581073193
2025-12-27 22:51:23.693186,Administration,268392.8714070094,629622.7776235868,1299367.046849469
2025-12-28 22:51:23.693186,Administration,462554.96157303924,119195.20087870822,1654540.8309023096
2025-12-29 22:51:23.693186,R&D,54886.58606448318,606219.1155276467,1227404.8982450636
2025-12-30 22:51:23.693186,Operations,449338.70140001713,497530.7114858943,520374.1974869457
2025-12-31 22:51:23.693186,Sales,106230.67675008374,963285.5016749819,1387248.2760192044
2026-01-01 22:51:23.693186,Sales,132914.32617635833,199476.57903422607,745175.1164019471
2026-01-02 22:51:23.693186,Operations,305395.23871643085,627052.0484571776,1152362.1088710781
2026-01-03 22:51:23.693186,Logistics,439691.45718140027,500922.2671516494,1664882.7579416581
2026-01-04 22:51:23.693186,Operations,403938.8219013701,738575.4841456453,648474.5379480494
2026-01-05 22:51:23.693186,Sales,335295.1393573902,653553.0195101681,760614.5846726098
2026-01-06 22:51:23.693186,R&D,147407.65284641393,727202.3074524682,443311.11326634855
2026-01-07 22:51:23.693186,Administration,433203.0833924734,125376.6088182186,912595.8684260172
2026-01-08 22:51:23.693186,Logistics,492922.95052115974,195295.45108846328,1166898.612348479
2026-01-09 22:51:23.693186,Sales,174268.3134378047,337386.252731832,397792.10982438736
2026-01-10 22:51:23.693186,R&D,284655.4414976006,929978.1939103171,354327.21795427566
2026-01-11 22:51:23.693186,Operations,131370.4491411816,145621.51119089354,904100.365734033
2026-01-12 22:51:23.693186,Sales,118005.17044757183,470603.25910752546,720393.9349258288
2026-01-13 22:51:23.693186,Logistics,186049.14785668915,231999.2009692105,1917456.642953412
2026-01-14 22:51:23.693186,Operations,475488.9525881835,548619.9650764726,1492865.148983048
