date,product,stock_available,reorder_level,warehouse
2025-09-30 22:51:23.684752,Gadget Y,10980,1718,Warehouse 3
2025-10-01 22:51:23.684752,Gadget X,19281,4120,Warehouse 3
2025-10-02 22:51:23.684752,Widget A,45685,2719,Warehouse 3
2025-10-03 22:51:23.684752,Gadget X,35404,4045,Warehouse 1
2025-10-04 22:51:23.684752,Widget A,18824,730,Warehouse 2
2025-10-05 22:51:23.684752,Widget A,13391,626,Warehouse 1
2025-10-06 22:51:23.684752,Gadget Y,6455,3374,Warehouse 1
2025-10-07 22:51:23.684752,Gadget Y,5864,4632,Warehouse 3
2025-10-08 22:51:23.684752,Widget C,3060,2933,Warehouse 2
2025-10-09 22:51:23.684752,Widget C,5401,2162,Warehouse 3
2025-10-10 22:51:23.684752,Widget B,10071,3631,Warehouse 2
2025-10-11 22:51:23.684752,Widget C,27243,2360,Warehouse 3
2025-10-12 22:51:23.684752,Gadget Y,3658,908,Warehouse 1
2025-10-13 22:51:23.684752,Widget B,28434,1429,Warehouse 1
2025-10-14 22:51:23.684752,Gadget X,18037,2277,Warehouse 2
2025-10-15 22:51:23.684752,Gadget Y,43921,3651,Warehouse 3
2025-10-16 22:51:23.684752,Gadget Y,19876,3464,Warehouse 2
2025-10-17 22:51:23.684752,Widget C,4622,1718,Warehouse 1
2025-10-18 22:51:23.684752,Widget B,12251,4326,Warehouse 1
2025-10-19 22:51:23.684752,Widget A,35614,3689,Warehouse 2
2025-10-20 22:51:23.684752,Widget A,1795,2753,Warehouse 2
2025-10-21 22:51:23.684752,Widget B,25478,2776,Warehouse 2
2025-10-22 22:51:23.684752,Widget B,13850,2641,Warehouse 3
2025-10-23 22:51:23.684752,Widget B,22078,2703,Warehouse 3
2025-10-24 22:51:23.684752,Widget C,4817,1495,Warehouse 2
2025-10-25 22:51:23.684752,Widget A,13408,1386,Warehouse 2
2025-10-26 22:51:23.684752,Widget C,44620,1554,Warehouse 2
2025-10-27 22:51:23.684752,Gadget X,41450,2346,Warehouse 1
2025-10-28 22:51:23.684752,Widget A,48002,4881,Warehouse 2
2025-10-29 22:51:23.684752,Widget C,48631,4133,Warehouse 2
2025-10-30 22:51:23.684752,Gadget Y,22350,2395,Warehouse 2
2025-10-31 22:51:23.684752,Widget A,16836,775,Warehouse 2
2025-11-01 22:51:23.684752,Widget C,17411,753,Warehouse 3
2025-11-02 22:51:23.684752,Widget A,27192,3875,Warehouse 2
2025-11-03 22:51:23.684752,Gadget Y,11241,2657,Warehouse 2
2025-11-04 22:51:23.684752,Widget B,14366,1795,Warehouse 2
2025-11-05 22:51:23.684752,Gadget X,29174,2626,Warehouse 2
2025-11-06 22:51:23.684752,Gadget Y,11896,2494,Warehouse 1
2025-11-07 22:51:23.684752,Widget B,34420,2147,Warehouse 2
2025-11-08 22:51:23.684752,Gadget X,3624,3091,Warehouse 3
2025-11-09 22:51:23.684752,Gadget X,25557,4148,Warehouse 2
2025-11-10 22:51:23.684752,Widget C,6053,1733,Warehouse 1
2025-11-11 22:51:23.684752,Widget A,17226,2248,Warehouse 3
2025-11-12 22:51:23.684752,Gadget X,6606,507,Warehouse 1
2025-11-13 22:51:23.684752,Gadget X,43448,2552,Warehouse 1
2025-11-14 22:51:23.684752,Widget B,17050,1586,Warehouse 1
2025-11-15 22:51:23.684752,Gadget Y,42706,2097,Warehouse 2
2025-11-16 22:51:23.684752,Widget B,27171,2435,Warehouse 1
2025-11-17 22:51:23.684752,Widget C,4627,2842,Warehouse 3
2025-11-18 22:51:23.684752,Widget C,34494,1828,Warehouse 3
2025-11-19 22:51:23.684752,Gadget X,45805,781,Warehouse 3
2025-11-20 22:51:23.684752,Gadget Y,49805,4504,Warehouse 2
2025-11-21 22:51:23.684752,Widget B,46688,620,Warehouse 3
2025-11-22 22:51:23.684752,Gadget X,17514,4855,Warehouse 3
2025-11-23 22:51:23.684752,Widget B,15649,2777,Warehouse 2
2025-11-24 22:51:23.684752,Gadget X,41667,4529,Warehouse 2
2025-11-25 22:51:23.684752,Gadget X,6503,3234,Warehouse 1
2025-11-26 22:51:23.684752,Gadget Y,45787,2343,Warehouse 3
2025-11-27 22:51:23.684752,Widget C,19406,2095,Warehouse 2
2025-11-28 22:51:23.684752,Widget C,8030,2588,Warehouse 1
2025-11-29 22:51:23.684752,Gadget X,24494,3463,Warehouse 2
2025-11-30 22:51:23.684752,Widget A,9306,4848,Warehouse 1
2025-12-01 22:51:23.684752,Widget B,34159,2411,Warehouse 3
2025-12-02 22:51:23.684752,Widget B,35721,1699,Warehouse 3
2025-12-03 22:51:23.684752,Widget A,30057,2967,Warehouse 2
2025-12-04 22:51:23.684752,Widget A,22832,714,Warehouse 2
2025-12-05 22:51:23.684752,Gadget Y,32100,3784,Warehouse 2
2025-12-06 22:51:23.684752,Gadget Y,40277,1306,Warehouse 3
2025-12-07 22:51:23.684752,Widget A,12367,1817,Warehouse 3
2025-12-08 22:51:23.684752,Gadget Y,29810,519,Warehouse 2
2025-12-09 22:51:23.684752,Gadget Y,20684,1822,Warehouse 3
2025-12-10 22:51:23.684752,Widget A,35623,2654,Warehouse 3
2025-12-11 22:51:23.684752,Widget A,6388,4586,Warehouse 3
2025-12-12 22:51:23.684752,Widget B,15756,4327,Warehouse 1
2025-12-13 22:51:23.684752,Gadget Y,40651,1439,Warehouse 3
2025-12-14 22:51:23.684752,Widget A,1390,2019,Warehouse 3
2025-12-15 22:51:23.684752,Gadget Y,43470,4281,Warehouse 1
2025-12-16 22:51:23.684752,Gadget X,40120,2530,Warehouse 3
2025-12-17 22:51:23.684752,Widget A,33181,4767,Warehouse 1
2025-12-18 22:51:23.684752,Widget B,18414,1384,Warehouse 2
2025-12-19 22:51:23.684752,Gadget Y,37883,4307,Warehouse 2
2025-12-20 22:51:23.684752,Gadget X,2921,828,Warehouse 2
2025-12-21 22:51:23.684752,Widget A,14621,2312,Warehouse 1
2025-12-22 22:51:23.684752,Widget B,25221,2073,Warehouse 2
2025-12-23 22:51:23.684752,Widget B,46534,1891,Warehouse 3
2025-12-24 22:51:23.684752,Gadget Y,7751,1162,Warehouse 2
2025-12-25 22:51:23.684752,Gadget X,25709,3625,Warehouse 2
2025-12-26 22:51:23.684752,Gadget Y,12235,2416,Warehouse 1
2025-12-27 22:51:23.684752,Gadget Y,14681,3722,Warehouse 2
2025-12-28 22:51:23.684752,Widget B,49033,4103,Warehouse 1
2025-12-29 22:51:23.684752,Gadget Y,33632,2042,Warehouse 3
2025-12-30 22:51:23.684752,Gadget Y,39317,2019,Warehouse 1
2025-12-31 22:51:23.684752,Widget C,24290,1772,Warehouse 2
2026-01-01 22:51:23.684752,Gadget Y,44231,3499,Warehouse 3
2026-01-02 22:51:23.684752,Gadget Y,37439,1954,Warehouse 2
2026-01-03 22:51:23.684752,Gadget X,40492,3774,Warehouse 3
2026-01-04 22:51:23.684752,Gadget X,48484,1760,Warehouse 2
2026-01-05 22:51:23.684752,Widget A,2974,3120,Warehouse 2
2026-01-06 22:51:23.684752,Widget C,20820,1815,Warehouse 3
2026-01-07 22:51:23.684752,Widget A,38422,783,Warehouse 3
2026-01-08 22:51:23.684752,Widget B,39023,723,Warehouse 3
2026-01-09 22:51:23.684752,Widget C,35054,4414,Warehouse 3
2026-01-10 22:51:23.684752,Gadget X,3687,3462,Warehouse 2
2026-01-11 22:51:23.684752,Widget A,49788,806,Warehouse 3
2026-01-12 22:51:23.684752,Widget A,15505,4457,Warehouse 3
2026-01-13 22:51:23.684752,Widget A,27516,1655,Warehouse 3
2026-01-14 22:51:23.684752,Widget C,7709,2350,Warehouse 1
